學年度,設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
104,國立,專業群科,商業與管理群,2631,0,13,4,26,3,3,6
104,國立,專業群科,外語群,501,0,0,0,3,0,0,1
104,國立,專業群科,設計群,1202,1,2,2,9,2,5,2
104,國立,專業群科,農業群,145,0,0,0,13,1,0,0
104,國立,專業群科,食品群,71,0,0,0,0,0,0,0
104,國立,專業群科,家政群,148,0,0,0,6,0,0,0
104,國立,專業群科,餐旅群,225,0,0,0,17,0,0,0
104,國立,專業群科,藝術群,74,0,1,1,0,0,0,0
104,國立,專業群科,綜合,259,15,1,26,1,5,0,33
104,國立,綜合高中,學術群,2149,0,10,3,20,0,2,1
104,國立,綜合高中,機械群,44,0,0,0,1,0,0,0
104,國立,綜合高中,電機與電子群,181,2,2,0,10,0,1,0
104,國立,綜合高中,化工群,92,0,0,0,1,0,0,0
104,國立,綜合高中,土木與建築群,118,0,2,0,2,0,0,0
104,國立,綜合高中,商業與管理群,569,0,12,1,6,0,0,0
104,國立,綜合高中,外語群,55,0,0,0,0,0,0,0
104,國立,綜合高中,設計群,195,0,0,3,4,0,0,0
104,國立,綜合高中,農業群,19,0,0,0,0,0,0,0
104,國立,綜合高中,家政群,40,0,0,0,0,0,0,0
104,國立,綜合高中,餐旅群,144,0,3,6,0,0,0,1
104,國立,綜合高中,綜合,3,1,0,0,0,0,0,0
104,國立,實用技能學程,機械群,57,0,4,0,0,0,0,0
104,國立,實用技能學程,動力機械群,63,0,2,1,0,0,0,0
104,國立,實用技能學程,電機與電子群,60,0,6,8,0,0,0,0
104,國立,實用技能學程,商業與管理群,58,0,2,0,0,1,0,1
104,國立,實用技能學程,餐旅群,25,0,0,1,0,0,0,0
104,國立,實用技能學程,美容造型群,29,0,0,0,0,0,0,0
104,國立,進修部,學術群,382,1,0,2,2,0,0,76
104,國立,進修部,機械群,356,0,10,12,3,0,0,1
104,國立,進修部,動力機械群,119,0,2,3,0,0,0,0
104,國立,進修部,電機與電子群,395,1,10,1,2,0,0,0
104,國立,進修部,化工群,21,0,1,0,0,0,0,0
104,國立,進修部,土木與建築群,68,0,0,0,0,0,0,0
104,國立,進修部,商業與管理群,417,0,8,1,1,0,3,6
104,國立,進修部,外語群,50,0,0,0,0,0,2,0
104,國立,進修部,設計群,135,0,1,0,1,0,0,2
104,國立,進修部,餐旅群,35,0,3,1,4,0,0,0
104,私立,普通科,學術群,24285,2,95,10,362,9,43,24
104,私立,專業群科,機械群,1771,9,58,10,11,1,2,3
104,私立,專業群科,動力機械群,4297,24,324,123,15,10,0,43
104,私立,專業群科,電機與電子群,8813,34,373,155,39,9,6,50
104,私立,專業群科,土木與建築群,213,3,11,0,3,0,0,0
104,私立,專業群科,商業與管理群,8916,21,204,118,54,27,6,51
104,私立,專業群科,外語群,4522,13,34,14,15,5,11,10
104,私立,專業群科,設計群,6029,21,68,50,99,11,18,55
104,私立,專業群科,食品群,100,0,6,8,0,2,1,0
104,私立,專業群科,家政群,5854,34,22,138,32,24,4,56
104,私立,專業群科,餐旅群,18634,97,611,587,69,44,45,122
104,私立,專業群科,海事群,74,0,27,0,1,0,0,0
104,私立,專業群科,藝術群,2400,1,27,35,52,5,15,39
104,私立,專業群科,綜合,373,29,0,71,0,8,0,23
104,私立,綜合高中,學術群,1709,3,24,6,23,0,3,1
104,私立,綜合高中,機械群,42,0,0,0,0,0,0,0
104,私立,綜合高中,動力機械群,125,0,14,7,0,0,0,0
104,私立,綜合高中,電機與電子群,990,1,54,2,3,0,0,8
104,私立,綜合高中,化工群,162,0,0,0,0,0,0,0
104,私立,綜合高中,商業與管理群,1327,1,16,1,7,6,1,7
104,私立,綜合高中,外語群,1056,0,7,1,2,3,1,2
104,私立,綜合高中,設計群,588,1,1,1,5,0,1,1
104,私立,綜合高中,家政群,485,0,3,10,0,0,0,0
104,私立,綜合高中,餐旅群,1541,6,57,8,5,1,4,1
104,私立,綜合高中,藝術群,24,0,1,0,1,1,0,1
104,私立,綜合高中,綜合,224,0,9,3,0,0,0,4
104,私立,實用技能學程,機械群,62,0,3,1,0,0,0,0
104,私立,實用技能學程,動力機械群,1250,2,108,59,8,4,0,10
104,私立,實用技能學程,電機與電子群,392,0,54,4,2,1,0,1
104,私立,實用技能學程,商業與管理群,800,4,23,23,8,1,2,16
104,私立,實用技能學程,設計群,39,0,0,0,0,0,0,0
104,私立,實用技能學程,農業群,14,0,2,0,0,1,0,0
104,私立,實用技能學程,食品群,267,1,6,19,0,4,0,1
